No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVDA","NVIDIA Corporation","4.57T","188.02","0.52%","187.14B"
"2","GOOG","Alphabet Inc.","4.02T","329.85","-0.99%","385.48B"
"3","GOOGL","Alphabet Inc.","3.97T","329.30","-1.05%","385.48B"
"4","AAPL","Apple Inc.","3.77T","256.44","-0.69%","416.16B"
"5","MSFT","Microsoft Corporation","3.44T","463.00","1.39%","293.81B"
"6","AMZN","Amazon.com, Inc.","2.55T","238.60","0.18%","691.33B"
"7","AVGO","Broadcom Inc.","1.64T","346.17","0.92%","63.89B"
"8","META","Meta Platforms, Inc.","1.58T","626.53","0.92%","189.46B"
"9","TSLA","Tesla, Inc.","1.46T","439.93","0.31%","95.63B"
"10","BRK.B","Berkshire Hathaway Inc.","1.06T","494.17","0.31%","372.13B"
"11","WMT","Walmart Inc.","943.39B","118.37","-0.70%","703.06B"
"12","LLY","Eli Lilly and Company","939.16B","1,048.90","1.54%","59.42B"
"13","JPM","JPMorgan Chase & Co.","849.55B","315.09","1.89%","168.24B"
"14","V","Visa Inc.","629.11B","328.99","0.38%","40.00B"
"15","ORCL","Oracle Corporation","549.63B","191.30","0.76%","61.02B"
"16","XOM","Exxon Mobil Corporation","547.60B","129.85","0.56%","326.25B"
"17","JNJ","Johnson & Johnson","526.61B","218.58","-0.45%","92.15B"
"18","MA","Mastercard Incorporated","486.92B","542.23","-0.08%","31.47B"
"19","COST","Costco Wholesale Corporation","424.34B","956.00","-0.08%","280.39B"
"20","PLTR","Palantir Technologies Inc.","409.09B","171.64","-3.07%","3.90B"
"21","NFLX","Netflix, Inc.","402.39B","88.06","0.01%","43.38B"
"22","MU","Micron Technology, Inc.","398.17B","353.77","5.09%","42.31B"
"23","BAC","Bank of America Corporation","383.92B","53.23","1.22%","107.42B"
"24","ABBV","AbbVie Inc.","379.95B","214.98","-0.82%","59.64B"
"25","HD","The Home Depot, Inc.","377.62B","379.32","0.04%","166.19B"
"26","AMD","Advanced Micro Devices, Inc.","376.73B","231.40","1.53%","32.03B"
"27","GE","GE Aerospace","342.68B","324.87","1.54%","43.95B"
"28","PG","The Procter & Gamble Company","336.58B","144.04","-0.41%","84.93B"
"29","CVX","Chevron Corporation","335.69B","166.72","0.34%","188.69B"
"30","MS","Morgan Stanley","303.43B","191.68","0.24%","70.30B"
"31","KO","The Coca-Cola Company","303.18B","70.48","-","47.66B"
"32","GS","The Goldman Sachs Group, Inc.","303.10B","966.16","-0.99%","59.40B"
"33","UNH","UnitedHealth Group Incorporated","301.93B","333.32","-1.66%","435.16B"
"34","CAT","Caterpillar Inc.","300.59B","642.31","-0.75%","64.67B"
"35","CSCO","Cisco Systems, Inc.","297.48B","75.29","0.05%","57.70B"
"36","IBM","International Business Machines Corporation","286.49B","306.49","2.87%","65.40B"
"37","LRCX","Lam Research Corporation","279.35B","222.41","2.27%","19.59B"
"38","WFC","Wells Fargo & Company","276.02B","89.25","0.33%","80.04B"
"39","MRK","Merck & Co., Inc.","271.63B","109.44","-1.38%","64.24B"
"40","RTX","RTX Corporation","270.51B","201.76","0.97%","85.99B"
"41","PM","Philip Morris International Inc.","269.80B","173.33","0.44%","39.99B"
"42","AMAT","Applied Materials, Inc.","258.04B","325.42","1.99%","28.37B"
"43","AXP","American Express Company","254.12B","368.91","3.23%","65.29B"
"44","INTC","Intel Corporation","235.58B","47.26","-2.19%","53.44B"
"45","TMO","Thermo Fisher Scientific Inc.","235.22B","626.07","0.23%","43.74B"
"46","MCD","McDonald's Corporation","218.73B","307.14","-0.48%","26.26B"
"47","CRM","Salesforce, Inc.","215.50B","229.99","-1.52%","40.32B"
"48","ABT","Abbott Laboratories","213.27B","122.65","-0.71%","43.84B"
"49","TMUS","T-Mobile US, Inc.","208.38B","186.30","-2.29%","85.85B"
"50","C","Citigroup Inc.","207.38B","118.67","1.03%","75.72B"
"51","KLAC","KLA Corporation","204.76B","1,558.41","0.87%","12.52B"
"52","LIN","Linde plc","204.76B","438.51","-0.35%","33.50B"
"53","BX","Blackstone Inc.","202.94B","165.10","2.67%","12.79B"
"54","PEP","PepsiCo, Inc.","202.33B","146.28","-0.20%","92.37B"
"55","DIS","The Walt Disney Company","199.58B","111.79","-1.43%","94.43B"
"56","APP","AppLovin Corporation","193.14B","571.50","-5.85%","6.31B"
"57","BLK","BlackRock, Inc.","190.92B","1,172.75","1.39%","24.22B"
"58","ISRG","Intuitive Surgical, Inc.","190.12B","536.31","-0.93%","9.61B"
"59","BA","The Boeing Company","188.36B","247.81","0.03%","80.76B"
"60","APH","Amphenol Corporation","187.00B","152.77","-0.94%","20.97B"
"61","SCHW","The Charles Schwab Corporation","186.33B","104.86","2.04%","22.91B"
"62","GEV","GE Vernova Inc.","184.73B","680.84","6.01%","37.67B"
"63","AMGN","Amgen Inc.","178.45B","331.39","0.41%","35.97B"
"64","ACN","Accenture plc","177.63B","288.69","0.32%","70.73B"
"65","UBER","Uber Technologies, Inc.","174.91B","84.18","-0.24%","49.61B"
"66","TJX","The TJX Companies, Inc.","174.75B","157.37","0.77%","58.98B"
"67","TXN","Texas Instruments Incorporated","174.41B","191.95","1.50%","17.27B"
"68","NEE","NextEra Energy, Inc.","174.29B","83.69","1.83%","26.30B"
"69","QCOM","QUALCOMM Incorporated","170.19B","160.10","-0.80%","44.28B"
"70","DHR","Danaher Corporation","167.62B","237.30","-1.08%","24.27B"
"71","BKNG","Booking Holdings Inc.","167.52B","5,197.12","0.08%","26.04B"
"72","T","AT&T Inc.","166.89B","23.54","-0.80%","124.48B"
"73","SPGI","S&P Global Inc.","165.80B","547.56","0.39%","15.01B"
"74","VZ","Verizon Communications Inc.","164.38B","38.99","-0.95%","137.49B"
"75","ANET","Arista Networks, Inc.","163.82B","130.09","-0.38%","8.45B"
"76","LOW","Lowe's Companies, Inc.","155.04B","276.38","-0.23%","84.26B"
"77","COF","Capital One Financial Corporation","154.63B","243.23","2.64%","28.89B"
"78","GILD","Gilead Sciences, Inc.","154.33B","124.39","2.58%","29.09B"
"79","INTU","Intuit Inc.","153.07B","550.08","-0.81%","19.43B"
"80","ADI","Analog Devices, Inc.","146.93B","300.07","-0.67%","11.02B"
"81","PFE","Pfizer Inc.","145.92B","25.67","-0.87%","62.79B"
"82","HON","Honeywell International Inc.","139.64B","219.94","2.29%","40.67B"
"83","DE","Deere & Company","139.26B","513.73","-0.25%","45.63B"
"84","SYK","Stryker Corporation","138.79B","362.92","0.12%","24.38B"
"85","UNP","Union Pacific Corporation","136.79B","230.61","0.04%","24.55B"
"86","LMT","Lockheed Martin Corporation","134.44B","581.00","0.54%","73.35B"
"87","ETN","Eaton Corporation plc","134.14B","345.36","3.57%","26.63B"
"88","NOW","ServiceNow, Inc.","133.76B","128.94","-1.70%","12.67B"
"89","BSX","Boston Scientific Corporation","131.77B","88.85","-1.31%","19.35B"
"90","WELL","Welltower Inc.","131.70B","191.89","1.97%","9.91B"
"91","PANW","Palo Alto Networks, Inc.","131.52B","188.69","0.51%","9.56B"
"92","PLD","Prologis, Inc.","127.81B","134.37","1.22%","9.10B"
"93","MDT","Medtronic plc","125.47B","97.87","-1.14%","34.76B"
"94","ADBE","Adobe Inc.","125.00B","298.62","-1.80%","23.77B"
"95","NEM","Newmont Corporation","124.14B","114.04","-0.15%","21.50B"
"96","COP","ConocoPhillips","120.64B","97.63","-1.31%","61.28B"
"97","PH","Parker-Hannifin Corporation","118.99B","942.97","-0.17%","20.03B"
"98","PGR","The Progressive Corporation","118.94B","202.83","-0.34%","85.17B"
"99","CB","Chubb Limited","118.47B","301.02","-0.03%","58.84B"
"100","KKR","KKR & Co. Inc.","118.33B","132.75","1.09%","22.25B"
"101","CRWD","CrowdStrike Holdings, Inc.","115.08B","456.49","0.33%","4.57B"
"102","BMY","Bristol-Myers Squibb Company","113.03B","55.52","-1.94%","48.03B"
"103","VRTX","Vertex Pharmaceuticals Incorporated","112.79B","444.55","1.28%","11.72B"
"104","CEG","Constellation Energy Corporation","110.21B","304.15","-10.86%","24.84B"
"105","HCA","HCA Healthcare, Inc.","107.77B","472.26","-2.39%","74.37B"
"106","SBUX","Starbucks Corporation","105.69B","92.95","-0.35%","37.18B"
"107","ADP","Automatic Data Processing, Inc.","105.18B","260.06","-0.05%","20.90B"
"108","MCK","McKesson Corporation","103.62B","839.50","-0.55%","387.09B"
"109","MO","Altria Group, Inc.","103.61B","61.72","0.23%","20.17B"
"110","CMCSA","Comcast Corporation","101.26B","27.79","-1.98%","123.31B"
"111","CVS","CVS Health Corporation","100.59B","79.24","-2.61%","391.69B"
"112","CME","CME Group Inc.","100.26B","278.04","2.00%","6.39B"
"113","ICE","Intercontinental Exchange, Inc.","99.48B","174.47","0.69%","9.75B"
"114","GD","General Dynamics Corporation","99.40B","368.53","-0.04%","51.51B"
"115","CVNA","Carvana Co.","99.37B","453.71","-1.56%","18.27B"
"116","SNPS","Synopsys, Inc.","99.10B","517.96","1.92%","7.05B"
"117","HOOD","Robinhood Markets, Inc.","99.05B","110.15","-0.18%","4.20B"
"118","SO","The Southern Company","98.01B","89.01","0.26%","28.91B"
"119","MCO","Moody's Corporation","96.26B","539.57","-0.01%","7.50B"
"120","NOC","Northrop Grumman Corporation","95.19B","667.00","1.89%","40.93B"
"121","NKE","NIKE, Inc.","94.72B","63.99","-0.94%","46.51B"
"122","DUK","Duke Energy Corporation","92.45B","118.88","-0.02%","31.24B"
"123","UPS","United Parcel Service, Inc.","90.95B","107.20","-1.31%","89.48B"
"124","MMM","3M Company","90.58B","170.52","-0.34%","24.83B"
"125","HWM","Howmet Aerospace Inc.","90.32B","224.63","0.16%","7.98B"
"126","WM","Waste Management, Inc.","89.03B","220.99","0.51%","24.78B"
"127","DASH","DoorDash, Inc.","89.01B","206.53","-1.70%","12.64B"
"128","SHW","The Sherwin-Williams Company","87.95B","356.86","0.20%","23.28B"
"129","PNC","The PNC Financial Services Group, Inc.","87.73B","223.70","4.03%","21.80B"
"130","MAR","Marriott International, Inc.","87.60B","326.43","0.20%","6.87B"
"131","TT","Trane Technologies plc","86.42B","389.76","0.64%","21.05B"
"132","CDNS","Cadence Design Systems, Inc.","86.38B","317.35","-1.01%","5.21B"
"133","AMT","American Tower Corporation","85.57B","182.79","0.68%","10.45B"
"134","USB","U.S. Bancorp","85.38B","54.93","1.81%","26.01B"
"135","APO","Apollo Global Management, Inc.","84.47B","145.54","0.96%","27.22B"
"136","BK","The Bank of New York Mellon Corporation","84.38B","122.60","-1.11%","20.11B"
"137","FCX","Freeport-McMoRan Inc.","84.25B","58.68","-2.14%","26.00B"
"138","EMR","Emerson Electric Co.","84.04B","149.45","0.97%","18.02B"
"139","ELV","Elevance Health, Inc.","83.38B","375.20","-1.76%","194.82B"
"140","CRH","CRH plc","82.25B","122.71","0.12%","36.90B"
"141","TDG","TransDigm Group Incorporated","81.99B","1,455.88","1.56%","8.83B"
"142","GLW","Corning Incorporated","80.54B","93.94","0.48%","14.92B"
"143","CMI","Cummins Inc.","80.25B","581.39","1.14%","33.58B"
"144","DELL","Dell Technologies Inc.","79.79B","120.41","0.63%","104.09B"
"145","ORLY","O'Reilly Automotive, Inc.","79.39B","94.05","0.44%","17.46B"
"146","ABNB","Airbnb, Inc.","79.30B","130.79","-1.37%","11.94B"
"147","EQIX","Equinix, Inc.","79.20B","806.64","0.60%","9.08B"
"148","ECL","Ecolab Inc.","78.47B","277.06","-0.24%","15.89B"
"149","CTAS","Cintas Corporation","77.73B","194.39","-0.61%","10.79B"
"150","ITW","Illinois Tool Works Inc.","76.61B","264.07","0.83%","15.88B"
"151","GM","General Motors Company","76.40B","81.50","0.73%","187.44B"
"152","MNST","Monster Beverage Corporation","76.16B","77.95","0.05%","7.98B"
"153","RCL","Royal Caribbean Cruises Ltd.","75.41B","276.51","-0.58%","17.44B"
"154","WDC","Western Digital Corporation","75.30B","220.25","-0.83%","10.13B"
"155","WMB","The Williams Companies, Inc.","75.28B","61.64","2.24%","11.58B"
"156","REGN","Regeneron Pharmaceuticals, Inc.","74.89B","729.91","-1.62%","14.25B"
"157","MDLZ","Mondelez International, Inc.","74.23B","57.53","0.40%","37.65B"
"158","AON","Aon plc","73.91B","343.87","-0.28%","17.03B"
"159","FDX","FedEx Corporation","72.88B","309.98","-1.02%","90.09B"
"160","CI","The Cigna Group","72.58B","271.72","-2.24%","268.08B"
"161","WBD","Warner Bros. Discovery, Inc.","71.12B","28.69","0.68%","37.86B"
"162","TEL","TE Connectivity plc","70.96B","241.19","-0.30%","17.26B"
"163","STX","Seagate Technology Holdings plc","70.48B","323.51","1.00%","9.56B"
"164","JCI","Johnson Controls International plc","70.27B","114.99","1.81%","23.60B"
"165","SLB","SLB N.V.","70.01B","46.86","0.62%","35.25B"
"166","HLT","Hilton Worldwide Holdings Inc.","69.80B","300.30","-0.52%","4.87B"
"167","PWR","Quanta Services, Inc.","69.79B","468.01","4.55%","27.19B"
"168","SPG","Simon Property Group, Inc.","69.06B","183.69","0.76%","6.16B"
"169","COR","Cencora, Inc.","68.85B","354.90","-0.13%","321.33B"
"170","CL","Colgate-Palmolive Company","68.07B","84.45","0.13%","20.10B"
"171","CSX","CSX Corporation","67.65B","36.33","0.08%","14.12B"
"172","MSI","Motorola Solutions, Inc.","66.46B","399.01","1.16%","11.31B"
"173","AJG","Arthur J. Gallagher & Co.","66.28B","258.08","0.75%","12.08B"
"174","COIN","Coinbase Global, Inc.","65.42B","242.59","1.38%","7.37B"
"175","NSC","Norfolk Southern Corporation","65.24B","290.77","-","12.23B"
"176","RSG","Republic Services, Inc.","65.19B","210.60","-0.09%","16.50B"
"177","LHX","L3Harris Technologies, Inc.","64.84B","346.63","1.82%","21.74B"
"178","TFC","Truist Financial Corporation","64.37B","50.32","0.08%","18.28B"
"179","PCAR","PACCAR Inc","63.78B","121.44","-0.39%","29.53B"
"180","AEP","American Electric Power Company, Inc.","63.67B","119.22","-0.15%","21.26B"
"181","ROST","Ross Stores, Inc.","62.81B","194.18","0.20%","22.03B"
"182","KMI","Kinder Morgan, Inc.","62.15B","27.94","1.92%","16.42B"
"183","TRV","The Travelers Companies, Inc.","60.22B","269.96","-0.51%","48.40B"
"184","SRE","Sempra","60.18B","92.20","0.69%","13.71B"
"185","NXPI","NXP Semiconductors N.V.","60.14B","238.96","0.15%","12.05B"
"186","APD","Air Products and Chemicals, Inc.","59.42B","266.94","0.36%","12.04B"
"187","BDX","Becton, Dickinson and Company","59.37B","208.38","0.01%","21.84B"
"188","SNDK","Sandisk Corporation","59.30B","404.66","-1.12%","7.78B"
"189","URI","United Rentals, Inc.","58.92B","925.95","-0.07%","15.99B"
"190","NDAQ","Nasdaq, Inc.","58.04B","101.65","1.32%","8.17B"
"191","AFL","Aflac Incorporated","57.51B","109.72","0.10%","17.70B"
"192","AZO","AutoZone, Inc.","57.48B","3,469.21","0.11%","19.29B"
"193","DLR","Digital Realty Trust, Inc.","57.35B","164.00","2.14%","5.84B"
"194","IDXX","IDEXX Laboratories, Inc.","57.21B","716.46","0.61%","4.17B"
"195","EOG","EOG Resources, Inc.","56.84B","104.75","-2.10%","22.65B"
"196","VST","Vistra Corp.","56.69B","167.30","-7.15%","17.19B"
"197","FTNT","Fortinet, Inc.","56.53B","76.02","-0.39%","6.55B"
"198","O","Realty Income Corporation","56.51B","61.25","0.87%","5.61B"
"199","PSX","Phillips 66","56.38B","139.93","-0.06%","131.95B"
"200","VLO","Valero Energy Corporation","56.24B","184.38","-0.11%","116.55B"
"201","ADSK","Autodesk, Inc.","55.96B","264.49","0.85%","6.89B"
"202","ARES","Ares Management Corporation","55.88B","170.94","0.81%","5.36B"
"203","ZTS","Zoetis Inc.","55.01B","124.82","-0.37%","9.40B"
"204","F","Ford Motor Company","54.49B","13.68","-0.98%","189.59B"
"205","PYPL","PayPal Holdings, Inc.","53.13B","56.78","0.07%","32.86B"
"206","CMG","Chipotle Mexican Grill, Inc.","53.05B","40.12","-0.59%","11.79B"
"207","MPC","Marathon Petroleum Corporation","52.96B","176.18","-0.79%","133.58B"
"208","D","Dominion Energy, Inc.","52.01B","60.91","0.94%","15.81B"
"209","PSA","Public Storage","51.77B","294.24","0.41%","4.80B"
"210","BKR","Baker Hughes Company","51.17B","51.86","-0.27%","27.71B"
"211","MET","MetLife, Inc.","51.08B","77.53","-0.47%","71.93B"
"212","EA","Electronic Arts Inc.","50.95B","204.29","0.07%","7.29B"
"213","GWW","W.W. Grainger, Inc.","50.77B","1,067.65","0.41%","17.75B"
"214","CAH","Cardinal Health, Inc.","50.65B","213.16","-0.14%","234.31B"
"215","AXON","Axon Enterprise, Inc.","50.64B","637.54","0.05%","2.56B"
"216","CBRE","CBRE Group, Inc.","50.62B","172.67","1.08%","39.33B"
"217","ALL","The Allstate Corporation","50.50B","193.00","-1.26%","66.85B"
"218","FAST","Fastenal Company","50.22B","43.75","0.49%","8.00B"
"219","TGT","Target Corporation","50.00B","110.43","-0.63%","105.24B"
"220","WDAY","Workday, Inc.","49.96B","189.95","-1.44%","9.23B"
"221","MPWR","Monolithic Power Systems, Inc.","49.56B","1,034.57","2.48%","2.66B"
"222","AME","AMETEK, Inc.","49.51B","215.06","0.02%","7.16B"
"223","EW","Edwards Lifesciences Corporation","49.01B","84.45","-0.05%","5.88B"
"224","AMP","Ameriprise Financial, Inc.","47.52B","511.54","0.68%","18.51B"
"225","CARR","Carrier Global Corporation","47.26B","56.11","1.01%","22.06B"
"226","CTVA","Corteva, Inc.","47.01B","69.57","-1.32%","17.47B"
"227","ROK","Rockwell Automation, Inc.","46.65B","414.90","-1.48%","8.34B"
"228","OKE","ONEOK, Inc.","46.64B","74.13","1.06%","31.56B"
"229","DAL","Delta Air Lines, Inc.","45.85B","70.68","-0.93%","63.36B"
"230","DHI","D.R. Horton, Inc.","45.25B","154.94","-3.76%","34.25B"
"231","MSCI","MSCI Inc.","45.12B","600.48","0.53%","3.06B"
"232","EXC","Exelon Corporation","44.96B","44.50","0.79%","24.32B"
"233","XEL","Xcel Energy Inc.","44.74B","75.63","0.36%","14.23B"
"234","ROP","Roper Technologies, Inc.","44.69B","415.20","0.23%","7.72B"
"235","YUM","Yum! Brands, Inc.","44.62B","160.70","-0.22%","8.06B"
"236","TTWO","Take-Two Interactive Software, Inc.","44.44B","240.50","-1.57%","6.22B"
"237","ETR","Entergy Corporation","43.55B","96.28","0.64%","12.73B"
"238","FANG","Diamondback Energy, Inc.","43.05B","150.31","-0.34%","14.63B"
"239","EBAY","eBay Inc.","42.64B","94.33","-1.81%","10.71B"
"240","OXY","Occidental Petroleum Corporation","42.12B","42.75","-0.97%","26.60B"
"241","DDOG","Datadog, Inc.","41.64B","118.75","-1.75%","3.21B"
"242","EL","The Estée Lauder Companies Inc.","41.17B","114.26","-1.20%","14.45B"
"243","CTSH","Cognizant Technology Solutions Corporation","41.07B","85.10","0.33%","20.86B"
"244","GRMN","Garmin Ltd.","41.00B","213.17","0.27%","6.94B"
"245","IQV","IQVIA Holdings Inc.","40.93B","240.36","-0.38%","15.90B"
"246","MCHP","Microchip Technology Incorporated","40.62B","75.16","0.95%","4.21B"
"247","VMC","Vulcan Materials Company","40.49B","306.46","1.57%","7.88B"
"248","KR","The Kroger Co.","40.22B","63.56","1.71%","147.23B"
"249","HSY","The Hershey Company","40.12B","197.85","-1.60%","11.49B"
"250","A","Agilent Technologies, Inc.","40.08B","141.36","-2.40%","6.95B"
"251","TKO","TKO Group Holdings, Inc.","39.99B","204.97","-1.87%","2.55B"
