Symbol,Name,Column 3,Price,Change,Change %,52 Wk Range
"EURUSD=X","EUR/USD","","1.1604 -4.46 (-0.06%)","-0.0007","-0.06%","1.02 1.19"
"JPY=X","USD/JPY","","158.0870 -83.11 (-0.17%)","-0.5150","-0.32%","139.89 159.44"
"GBPUSD=X","GBP/USD","","1.3381 -14.63 (-0.06%)","+0.0003","+0.03%","1.22 1.38"
"AUDUSD=X","AUD/USD","","0.6680 -1.75 (-0.01%)","-0.0016","-0.24%","0.59 0.68"
"NZDUSD=X","NZD/USD","","0.5751 +86.36 (+1.15%)","+0.0009","+0.17%","0.55 0.61"
"EURJPY=X","EUR/JPY","","183.3680 -2.16 (-0.21%)","-0.7170","-0.39%","154.81 185.56"
"GBPJPY=X","GBP/JPY","","211.4990 -0.7350 (-0.35%)","-0.7350","-0.35%","184.42 214.29"
"EURGBP=X","EUR/GBP","","0.8670 -0.0001 (-0.01%)","-0.0001","-0.01%","0.82 0.89"
"EURCAD=X","EUR/CAD","","1.6124 +0.0003 (+0.02%)","+0.0003","+0.02%","1.48 1.65"
"EURSEK=X","EUR/SEK","","10.6995 -0.0066 (-0.06%)","-0.0066","-0.06%","10.67 11.51"
"EURCHF=X","EUR/CHF","","0.9309 -0.0011 (-0.12%)","-0.0011","-0.12%","0.92 0.97"
"EURHUF=X","EUR/HUF","","384.6300 -0.3700 (-0.10%)","-0.3700","-0.10%","380.03 413.53"
"CNY=X","USD/CNY","","6.9676 +0.0021 (+0.03%)","+0.0021","+0.03%","6.97 7.35"
"HKD=X","USD/HKD","","7.7959 -0.0014 (-0.02%)","-0.0014","-0.02%","7.75 7.85"
"SGD=X","USD/SGD","","1.2886 +0.0010 (+0.08%)","+0.0010","+0.08%","1.27 1.37"
"INR=X","USD/INR","","90.6620 +0.3470 (+0.38%)","+0.3470","+0.38%","72.97 91.07"
"MXN=X","USD/MXN","","17.6100 -0.0366 (-0.21%)","-0.0366","-0.21%","17.61 21.29"
"PHP=X","USD/PHP","","59.3330 -0.1100 (-0.19%)","-0.1100","-0.19%","50.32 59.61"
"IDR=X","USD/IDR","","16,876.0000 +1.0000 (+0.01%)","+1.0000","+0.01%","14,670.40 17,322.60"
"THB=X","USD/THB","","31.4100 +0.0300 (+0.10%)","+0.0300","+0.10%","30.99 34.98"
"MYR=X","USD/MYR","","4.0550 +0.0030 (+0.07%)","+0.0030","+0.07%","4.03 4.51"
"ZAR=X","USD/ZAR","","16.3930 +0.0498 (+0.30%)","+0.0498","+0.30%","16.29 19.93"
"RUB=X","USD/RUB","","77.8900 -0.2600 (-0.33%)","-0.2600","-0.33%","75.69 102.45"
"","","","","","",""