Symbol,Company,Price,52 Wk Change %,Estimated Valuation,Total Funding Raised,Latest Funding Date,Latest Amount Raised,Latest Round Share Class,Private Company Sector
"SPAX.PVT","SpaceX","444.57 +0.00 (+0.45%)","+88.50%","844.789B","8.923B","2025-12-11","1.901B","Tender Offer 2","Space"
"OPAI.PVT","OpenAI","723.12 +0.00 (+0.02%)","+153.22%","500B","40.875B","2025-10-01","6.6B","Tender Offer 3","Artificial Intelligence"
"ANTH.PVT","Anthropic","272.98 0.00 (0.00%)","+386.68%","354.375B","23.15B","2025-09-01","779.964M","Series F-4","Artificial Intelligence"
"XAAI.PVT","xAI","82.06 0.00 (0.00%)","+279.03%","250.117B","37.453B","2026-01-05","20B","Series E","Artificial Intelligence"
"DATB.PVT","Databricks","197.81 -0.00 (-0.08%)","+100.84%","139.508B","19.551B","2025-12-15","4B","Series L","Data and Analytics"
"STRI.PVT","Stripe","36.29 0.00 (0.00%)","+31.96%","92.365B","8.445B","2025-02-26","--","Tender Offer 2","Financial Services"
"ANIN.PVT","Anduril Industries","105.51 0.00 (0.00%)","+254.30%","78.714B","6.455B","2025-06-04","2.5B","Series G","Government and Military"
"RAMP.PVT","Ramp","92.03 0.00 (0.00%)","+162.94%","32.722B","2.191B","2025-11-16","300M","Series E-3","Financial Services"
"RIPL.PVT","Ripple","140.59 0.00 (0.00%)","+100.16%","23.121B","575.065M","2016-09-14","44.477M","Series B","Blockchain and Crypto"
"RIPP.PVT","Rippling","64.50 0.00 (0.00%)","+27.42%","20.839B","1.414B","2025-05-08","460.183M","Series G","Administrative Services"
"PEAI.PVT","Perplexity","69.54 0.00 (0.00%)","+103.33%","20.391B","2.254B","2025-09-25","525M","Series E-6","Artificial Intelligence"
"EPGA.PVT","Epic Games","479.75 0.00 (0.00%)","+7.86%","17.991B","7.53B","2024-02-07","1.5B","Corporate Round","Media and Entertainment"
"FANA.PVT","Fanatics","42.00 0.00 (0.00%)","0.00%","17.093B","4.404B","2022-12-05","700M","Private Equity Round 3","Commerce and Shopping"
"NEUR.PVT","Neuralink","75.62 0.00 (0.00%)","+68.49%","14.865B","1.337B","2025-06-01","650M","Series E","Biotechnology"
"KRAK.PVT","Kraken","39.01 0.00 (0.00%)","+99.64%","12.692B","965.021M","2025-11-17","200M","Series D","Blockchain and Crypto"
"POLA.PVT","Polymarket","139.37 0.00 (0.00%)","+2,054.10%","12.101B","1.27B","2025-10-06","1B","Series D","Blockchain and Crypto"
"CESY.PVT","Cerebras Systems","45.00 0.00 (0.00%)","+15.95%","10.06B","1.908B","2025-09-29","1.1B","Series G","Hardware"
"VERC.PVT","Vercel","211.61 0.00 (0.00%)","+188.81%","9.798B","863.022M","2025-09-29","299.999M","Series F","Software"
"GLEA.PVT","Glean","57.48 +0.00 (+0.37%)","+53.28%","8.442B","774.5M","2025-06-09","150M","Series F","Data and Analytics"
"NETS.PVT","Netskope","22.49 +0.58 (+58.16%)","+106.52%","8.249B","1.05B","2021-07-08","300M","Series H","Privacy and Security"
"LAMD.PVT","Lambda","40.95 0.00 (0.00%)","+81.19%","7.487B","2.364B","2025-11-17","410.284M","Series E-3","Data and Analytics"
"UPGR.PVT","Upgrade","4.70 0.00 (0.00%)","+129.27%","7.3B","795.503M","2025-11-30","49.139M","Tender Offer 1","Financial Services"
"DISO.PVT","Discord","265.87 -0.00 (-0.41%)","+10.91%","7.243B","1.005B","2021-08-14","499.999M","Series I","Messaging and Telecommunications"
"G GROQ.PVT","Groq","29.77 -0.00 (-0.03%)","+75.53%","6.387B","1.798B","2025-09-16","750M","Series D-3","Hardware"
"S SHAI.PVT","Shield AI","86.43 0.00 (0.00%)","+72.86%","5.884B","1.032B","2025-03-05","240M","Series F1","Government and Military"
"ZIPL.PVT","Zipline","46.38 -0.07 (-7.24%)","+97.36%","5.834B","1.753B","2025-12-02","600M","Series H","Supply Chain and Logistics"
"EQSH.PVT","EquipmentShare","24.12 0.00 (0.00%)","+72.29%","5.621B","2.327B","2023-05-31","177.13M","Perpetual-1","Software"
"REMA.PVT","Redwood Materials","43.84 0.00 (0.00%)","-7.04%","5.546B","2.175B","2025-10-22","350M","Series E","Energy"
"HARN.PVT","Harness","25.39 0.00 (0.00%)","+95.31%","5.5B","715.854M","2025-12-10","200M","Tender Offer 1","Software"
"PSIQ.PVT","PsiQuantum","32.25 0.00 (0.00%)","+135.40%","5.489B","1.667B","2025-09-09","969.825M","Series E","Hardware"
"SAAQ.PVT","SandboxAQ","15.49 0.00 (0.00%)","-9.99%","5.202B","916.376M","2025-04-03","450M","Series E","Privacy and Security"
"REPI.PVT","Replit","150.00 0.00 (0.00%)","+233.33%","4.968B","454.09M","2025-09-09","250M","Series C","Software"
"VERK.PVT","Verkada","9.32 0.00 (0.00%)","+8.12%","4.866B","655.544M","2025-12-02","80M","Late Stage Venture","Privacy and Security"
"COHS.PVT","Cohesity","15.67 0.00 (0.00%)","+0.06%","4.69B","1.959B","2024-12-09","27.5M","Series H-1","Data and Analytics"
"CRIB.PVT","Cribl","4.86 0.00 (0.00%)","+16.55%","4.405B","725.274M","2024-08-26","199.036M","Series E","Data and Analytics"
"BREX.PVT","Brex","12.10 0.00 (0.00%)","+16.91%","4.285B","1.246B","2022-01-10","300M","Series D-2","Financial Services"
"ARWO.PVT","Arctic Wolf","8.00 0.00 (0.00%)","0.00%","4.21B","501.343M","2021-07-12","75M","Series F","Privacy and Security"
"THFD.PVT","The Farmer's Dog","26.29 0.00 (0.00%)","+28.24%","4.181B","267.955M","2022-06-07","100M","Series E","Consumer Goods"
"MERC.PVT","Mercury","14.50 0.00 (0.00%)","+79.23%","3.924B","451.64M","2025-03-25","242.549M","Series C","Financial Services"
"AIR.PVT","Airtable","60.00 0.00 (0.00%)","+14.29%","3.764B","4.114B","2021-12-12","735M","Series F","Software"
"NURO.PVT","Nuro","8.00 0.00 (0.00%)","+700.00%","3.752B","2.206B","2025-08-20","203.188M","Series E","Transportation"
"POSM.PVT","Postman","10.40 0.00 (0.00%)","-9.96%","3.304B","352.001M","2021-08-17","145M","Series D","Software"
"LIG.PVT","Lightmatter","60.00 0.00 (0.00%)","-6.09%","3.291B","822.484M","2024-10-15","13.483M","Series C-3","Hardware"
"WHOO.PVT","WHOOP","4.20 0.00 (0.00%)","+147.06%","3.176B","401.037M","2021-08-29","200M","Series F","Consumer Goods"
"TANI.PVT","Tanium","4.00 +0.02 (+1.52%)","-16.49%","3.159B","470.943M","2020-06-24","150M","Series H","Privacy and Security"
"ADDE.PVT","Addepar","3.44 -0.01 (-0.86%)","-3.37%","3.141B","720.918M","2025-05-12","230.711M","Series G","Financial Services"
"TATE.PVT","TAE Technologies","56.00 0.00 (0.00%)","+202.70%","3.076B","1.187B","2025-06-01","150M","Series 12","Energy"
"STRV.PVT","Strava","13.99 0.00 (0.00%)","-30.05%","2.2B","228.485M","2025-05-21","50M","Series F-1","Apps"
"WORA.PVT","Workato","6.00 0.00 (0.00%)","+0.50%","2.115B","441.249M","2021-11-09","200M","Series E","Software"
"MOTV.PVT","Motive","15.75 0.00 (0.00%)","+137.56%","2.073B","434.602M","2025-07-29","169.945M","Series F Senior","Supply Chain and Logistics"
"RAPP.PVT","Rappi","25.00 0.00 (0.00%)","-5.66%","2.036B","5.871B","2021-07-20","496.1M","Series F","Transportation"
"INTC.PVT","Intercom","50.00 0.00 (0.00%)","+117.39%","1.98B","241.365M","2018-03-16","125M","Series D","Sales and Marketing"
"SINA.PVT","Sila Nanotechnologies","14.17 0.00 (0.00%)","-13.70%","1.746B","3.239B","2024-06-26","375M","Series G","Energy"
"FLEP.PVT","Flexport","3.60 0.00 (0.00%)","+45.16%","1.592B","2.433B","2022-01-23","935M","Series E","Supply Chain and Logistics"
"CHAA.PVT","Chainalysis","7.25 0.00 (0.00%)","-29.34%","1.547B","587.402M","2022-05-11","150M","Series F","Privacy and Security"
"CONS.PVT","Consensys","29.80 +0.05 (+4.56%)","+39.71%","1.504B","704.725M","2022-03-14","450M","Series D","Blockchain and Crypto"
"INNA.PVT","Innovaccer","3.11 0.00 (0.00%)","-41.21%","1.453B","653.62M","2025-01-08","153.044M","Series F-1","Health Care"
"AUAN.PVT","Automation Anywhere","3.53 0.00 (0.00%)","-17.52%","1.445B","815M","2019-11-20","174M","Series B","Data and Analytics"
"NEFJ.PVT","Neo4j","7.35 0.00 (0.00%)","-17.88%","1.314B","711.825M","2021-11-08","197.031M","Series F","Data and Analytics"
"TURO.PVT","Turo","9.87 0.00 (0.00%)","-24.94%","1.259B","557.898M","2024-09-29","457,448","Series 1","Transportation"
"EISL.PVT","Eight Sleep","6.99 0.00 (0.00%)","+385.42%","1.258B","253.776M","2025-08-18","30M","Series D-1","Consumer Electronics"
"CIHE.PVT","Cityblock Health","15.52 0.00 (0.00%)","-22.05%","1.228B","1.827B","2024-06-17","39M","Series X","Health Care"
"THMA.PVT","Thrive Market","22.14 0.00 (0.00%)","+77.12%","1.157B","602.662M","2021-07-07","86.377M","Series C","Food and Beverage"
"GERO.PVT","Gecko Robotics","45.00 0.00 (0.00%)","+46.91%","1.142B","349.003M","2025-06-11","116.065M","Series D-1","Hardware"
"LIDE.PVT","Liquid Death","8.75 0.00 (0.00%)","-7.60%","951.516M","2.484B","2024-03-10","67.61M","Series F-1","Food and Beverage"
"APOL.PVT","Apollo.io","12.93 0.00 (0.00%)","-19.19%","934.338M","656.524M","2023-08-28","100.65M","Series D","Sales and Marketing"
"ATTE.PVT","Attentive","6.03 0.00 (0.00%)","-59.80%","913.457M","866.121M","2021-03-23","470.1M","Series E","Sales and Marketing"
"DTMR.PVT","Dataminr","9.60 0.00 (0.00%)","-28.04%","894.641M","1.035B","2021-03-22","475M","Series F","Software"
"FLOQ.PVT","FloQast","9.20 0.00 (0.00%)","-32.20%","888.81M","303.775M","2024-04-09","60.294M","Series E","Software"
"PATR.PVT","Patreon","10.81 0.00 (0.00%)","-7.37%","864.53M","407.775M","2021-04-05","155M","Series F","Media and Entertainment"
"VECR.PVT","Vectra","5.32 0.00 (0.00%)","0.00%","839.797M","352.234M","2021-04-28","130M","Series F","Privacy and Security"
"INSA.PVT","Instabase","3.97 0.00 (0.00%)","-35.34%","801.783M","276.216M","2025-01-16","100M","Series D","Data and Analytics"
"SANS.PVT","SambaNova","14.74 0.00 (0.00%)","-63.82%","792.255M","2.173B","2021-04-12","488.635M","Series D-1","Hardware"
"EGNY.PVT","Egnyte","8.49 0.00 (0.00%)","0.00%","772.83M","413.772M","2018-10-09","75M","Series E","Privacy and Security"
"DRUV.PVT","Druva","3.62 0.00 (0.00%)","+24.83%","772.679M","147M","2021-04-18","147M","Series H","Privacy and Security"
"DRAG.PVT","Dragos","20.00 0.00 (0.00%)","+73.91%","763.137M","382.196M","2021-10-27","210M","Series D","Privacy and Security"
"WORR.PVT","Workrise","106.30 0.00 (0.00%)","-24.64%","735.52M","786.709M","2021-05-19","300M","Series E","Administrative Services"
"CRES.PVT","Cresta","3.95 0.00 (0.00%)","+12.86%","657.583M","279.411M","2024-11-18","125M","Series D","Software"
"GREE.PVT","Greenlight","15.76 0.00 (0.00%)","0.00%","600.95M","1.11B","2021-04-26","260M","Series D","Financial Services"
"THSP.PVT","ThoughtSpot","3.38 0.00 (0.00%)","-19.33%","587.5M","802.884M","2023-07-17","124.638M","Series F-1","Software"
"ACOR.PVT","Acorns","3.74 0.00 (0.00%)","-6.97%","582.693M","838.725M","2023-03-30","111.358M","Series G-E","Financial Services"
"SIXS.PVT","6sense","3.50 0.00 (0.00%)","-65.75%","575.548M","525.798M","2022-01-19","180M","Series E-1","Software"
"ENRX.PVT","EnergyX","5.67 0.00 (0.00%)","-29.13%","571.512M","105.846M","2023-06-29","37.433M","Series B","Energy"
"BLOO.PVT","Bloomreach","7.00 0.00 (0.00%)","0.00%","566.707M","444.093M","2022-02-22","175M","Series F","Sales and Marketing"
"BIGI.PVT","BigID","1.93 0.00 (0.00%)","-38.92%","531.534M","1.216B","2024-03-17","61.44M","Series E","Privacy and Security"
"IMPF.PVT","Impossible Foods","1.60 0.00 (0.00%)","-28.89%","452.823M","1.961B","2021-11-22","500.145M","Series H-1","Food and Beverage"
"ZOCD.PVT","Zocdoc","5.00 0.00 (0.00%)","-33.33%","446.48M","1.149B","2021-02-10","100M","Series D-2","Health Care"
"AVIA.PVT","Aviatrix","3.48 0.00 (0.00%)","-18.50%","411.025M","383.087M","2021-09-07","200M","Series E","Data and Analytics"
"STDA.PVT","Starburst Data","0.70 0.00 (0.00%)","+32.08%","407.979M","863.398M","2022-02-08","250M","Series D","Data and Analytics"
"AVTN.PVT","Avathon","4.43 0.00 (0.00%)","-26.17%","397.737M","653.023M","2022-01-24","123M","Series D","Artificial Intelligence"
"FIRB.PVT","Firebolt","2.60 0.00 (0.00%)","0.00%","371.185M","609.198M","2022-01-25","100M","Series C","Data and Analytics"
"COLH.PVT","Collective Health","0.18 0.00 (0.00%)","-10.00%","366.863M","713.283M","2021-05-03","280M","Series F","Health Care"
"APSC.PVT","Apeel Sciences","1.32 0.00 (0.00%)","-28.26%","325.115M","647.05M","2021-08-17","250M","Series E","Agriculture and Farming"
"SIST.PVT","SingleStore","1.51 0.00 (0.00%)","-40.08%","310.482M","388.782M","2022-07-11","116M","Series F-2","Data and Analytics"
"OUTR.PVT","Outreach","2.00 0.00 (0.00%)","-20.00%","303.183M","490.857M","2021-05-26","201.027M","Series G","Software"
"LEOL.PVT","LeoLabs","2.80 0.00 (0.00%)","+12.00%","302.687M","422.932M","2024-02-11","94M","Series B","Space"
"NEWS.PVT","Newsela","5.84 0.00 (0.00%)","-15.73%","297.125M","188.971M","2021-02-24","100M","Series D","Education"
"WYLA.PVT","Wyze Labs","3.00 0.00 (0.00%)","0.00%","231.68M","146M","2021-07-29","100M","Series B","Hardware"
"DATO.PVT","DataRobot","0.72 0.00 (0.00%)","-68.00%","169.773M","3.361B","2021-07-26","330M","Series G","Data and Analytics"
"HTWO.PVT","H2O.ai","2.32 0.00 (0.00%)","-45.41%","137.791M","744.029M","2021-11-06","91.031M","Series E","Software"
"SISE.PVT","Sisense","0.40 0.00 (0.00%)","0.00%","--","--","2020-01-12","--","Series F","Data and Analytics"
"","","","","","","","","",""